[     165ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=e74e496a:17986
[ 3791092ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/auth/auth.ts?t=1786953738383:0
[ 3791093ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/api.schemas.ts?t=1786953738392:0
[ 3791095ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/contracts/contracts.ts?t=1786953738385:0
[ 3791097ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/customers/customers.ts?t=1786953738394:0
[ 3791098ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/health/health.ts?t=1786953738386:0
[ 3791099ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/organizations/organizations.ts?t=1786953738388:0
[ 3791103ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/rentals/rentals.ts?t=1786953738390:0
[ 3791104ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/users/users.ts?t=1786953738391:0
[ 3791106ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/vehicles/vehicles.ts?t=1786953738393:0
[ 3791107ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/maintenance/maintenance.ts?t=1786953738387:0
[ 3791109ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/expenses/expenses.ts?t=1786953738384:0
[ 3791111ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/payments/payments.ts?t=1786953738389:0
[ 3791778ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=e74e496a:17986
[ 3791938ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:5173/login:0
[14218715ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/auth/auth.ts?t=1786964165991:0
[14218716ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/api.schemas.ts?t=1786964165989:0
[14218717ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/contracts/contracts.ts?t=1786964165992:0
[14218723ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/customers/customers.ts?t=1786964165996:0
[14218724ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/health/health.ts?t=1786964165994:0
[14218726ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/organizations/organizations.ts?t=1786964165995:0
[14218727ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/rentals/rentals.ts?t=1786964165998:0
[14218729ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/users/users.ts?t=1786964166001:0
[14218730ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/vehicles/vehicles.ts?t=1786964166000:0
[14218732ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/maintenance/maintenance.ts?t=1786964165993:0
[14218733ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/expenses/expenses.ts?t=1786964165990:0
[14218734ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/payments/payments.ts?t=1786964165997:0
[14218736ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/@fs/home/ahdevworker03/Abdallah%20Hassoun/Software%20Engineering/4-%20Projects/3-%20client/vehicle-rental-platform/lib/api-client-react/src/generated/tasks/tasks.ts?t=1786964165999:0
